epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9797,1.3845,2.55917,1.76658,0.17401,0.04,0.1038,0.03583,1.93245,3.6547,2.1754,0.000655556,0.000655556,0.000655556
2,36.6015,1.30189,2.31051,1.71141,0.13712,0.17344,0.06166,0.01334,2.75591,7.62082,3.33446,0.00130913,0.00130913,0.00130913
3,54.1807,1.34267,2.32687,1.75479,0.23584,0.24,0.1431,0.04032,2.30397,3.76527,2.66343,0.00194951,0.00194951,0.00194951
4,71.6035,1.35179,2.25288,1.75,0.18974,0.21714,0.10881,0.0411,2.2811,3.59096,2.60187,0.0019406,0.0019406,0.0019406
5,88.8252,1.29461,2.19354,1.7354,0.24267,0.24571,0.16556,0.058,1.88385,3.22414,2.15158,0.0019208,0.0019208,0.0019208
6,106.415,1.29949,2.14549,1.7333,0.12873,0.24571,0.12254,0.04845,2.05787,3.03764,2.35542,0.001901,0.001901,0.001901
7,123.774,1.21044,2.06511,1.66634,0.28926,0.22286,0.17559,0.07105,1.84234,3.98897,2.14642,0.0018812,0.0018812,0.0018812
8,140.875,1.23172,2.09182,1.67524,0.22416,0.2427,0.14473,0.06148,1.91612,3.69627,2.27954,0.0018614,0.0018614,0.0018614
9,158.39,1.21201,2.07158,1.66426,0.27137,0.29714,0.20841,0.07068,1.87145,2.97617,2.16889,0.0018416,0.0018416,0.0018416
10,175.409,1.18915,2.03996,1.64569,0.26526,0.32571,0.23375,0.09092,1.67724,2.8028,1.99245,0.0018218,0.0018218,0.0018218
11,192.562,1.14815,2.02604,1.62378,0.28777,0.35429,0.26848,0.11319,1.69806,2.71414,1.98471,0.001802,0.001802,0.001802
12,209.52,1.1643,2.03562,1.60966,0.34326,0.29569,0.26828,0.11244,1.64803,2.96658,1.92471,0.0017822,0.0017822,0.0017822
13,227.241,1.13844,1.98869,1.59918,0.23088,0.30857,0.15478,0.06322,1.72789,2.83821,1.94415,0.0017624,0.0017624,0.0017624
14,244.113,1.11682,1.94862,1.59823,0.3032,0.33143,0.20298,0.08594,1.72328,2.78929,2.02476,0.0017426,0.0017426,0.0017426
15,261.341,1.08966,1.95602,1.56606,0.36823,0.22286,0.21581,0.07641,1.77959,2.93674,2.03355,0.0017228,0.0017228,0.0017228
16,278.837,1.09843,1.97233,1.58464,0.3824,0.25714,0.23818,0.1081,1.68225,3.16983,2.09367,0.001703,0.001703,0.001703
17,296.159,1.07885,1.91453,1.55125,0.21963,0.33143,0.17708,0.0701,1.75079,2.86299,2.05576,0.0016832,0.0016832,0.0016832
18,313.432,1.11194,1.96364,1.58683,0.32708,0.32571,0.2593,0.11999,1.69987,2.65424,1.97311,0.0016634,0.0016634,0.0016634
19,330.466,1.07226,1.92559,1.56738,0.25989,0.37714,0.29031,0.12899,1.67791,2.67405,2.00326,0.0016436,0.0016436,0.0016436
20,347.938,1.05976,1.87464,1.55972,0.36356,0.34857,0.28827,0.11993,1.63005,2.54542,1.92581,0.0016238,0.0016238,0.0016238
21,365.119,1.05409,1.87832,1.55736,0.37075,0.28,0.27958,0.13558,1.68819,2.63062,2.00577,0.001604,0.001604,0.001604
22,382.192,1.06188,1.91029,1.5496,0.26349,0.35429,0.25486,0.11963,1.69006,2.80035,1.98235,0.0015842,0.0015842,0.0015842
23,399.486,1.02969,1.86432,1.5451,0.3457,0.39429,0.29139,0.11725,1.53479,2.55081,1.85492,0.0015644,0.0015644,0.0015644
