epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7636,1.47905,3.49226,2.69988,1.54271,0,0.57996,0.12846,0.2095,0.09402,0.63315,0.12607,0.21684,0.07751,1.51013,4.42591,3.24573,1.77729,0,0.000653846,0.000653846,0.000653846
2,43.978,1.63581,3.18898,2.43445,1.6671,0,0.18131,0.25441,0.11204,0.04579,0.16854,0.20907,0.0787,0.02529,1.86401,6.12174,3.06722,2.23858,0,0.00130744,0.00130744,0.00130744
3,63.9039,1.76839,3.2956,2.45491,1.74825,0,0.08471,0.17632,0.04632,0.01748,0.085,0.11839,0.03449,0.01113,2.10159,5.62967,10.5394,2.9199,0,0.00194783,0.00194783,0.00194783
4,84.095,1.61862,3.11805,2.15269,1.6509,0,0.3498,0.34761,0.27114,0.12633,0.37262,0.37028,0.28536,0.12693,1.85405,3.60876,3.45907,2.02175,0,0.0019406,0.0019406,0.0019406
5,103.748,1.66291,3.23888,2.18097,1.68098,0,0.22749,0.27456,0.15277,0.06325,0.25109,0.28463,0.16749,0.07364,2.10193,3.64466,2.91794,2.23037,0,0.0019208,0.0019208,0.0019208
6,123.504,1.70205,3.10345,2.14246,1.68091,0,0.19369,0.22166,0.11513,0.05128,0.22313,0.22166,0.12469,0.0471,2.07408,3.86285,3.86972,2.1544,0,0.001901,0.001901,0.001901
7,143.346,1.61963,3.06218,1.9907,1.63734,0,0.44878,0.46096,0.38663,0.18731,0.45634,0.46851,0.39588,0.18453,1.6431,3.15021,2.28675,1.77086,0,0.0018812,0.0018812,0.0018812
8,163.168,1.6102,3.00939,2.00754,1.64855,0,0.34888,0.30982,0.23783,0.10833,0.34693,0.30982,0.24274,0.10204,1.74832,3.35034,2.77492,1.94138,0,0.0018614,0.0018614,0.0018614
9,184.224,1.56018,2.98107,1.92464,1.57769,0,0.39658,0.42065,0.33041,0.16496,0.40016,0.42514,0.33768,0.16496,1.6566,3.08903,2.20578,1.73163,0,0.0018416,0.0018416,0.0018416
10,203.443,1.52752,2.8579,1.90281,1.55524,0,0.3909,0.32242,0.26702,0.12364,0.44777,0.31738,0.27799,0.12592,1.70597,3.03021,2.52572,1.86551,0,0.0018218,0.0018218,0.0018218
