epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8533,1.50395,3.97671,2.73137,1.70151,0,0.15593,0.0678,0.0628,0.01749,0.10149,0.05085,0.03285,0.00939,1.91227,5.379,3.79621,2.34623,0,0.000655556,0.000655556,0.000655556
2,68.6869,1.5186,3.33156,2.473,1.73607,0,0.10009,0.09605,0.0538,0.02003,0.08178,0.14689,0.05015,0.01819,2.28343,5.45859,4.02172,2.85565,0,0.00130913,0.00130913,0.00130913
3,93.1567,1.57597,3.39802,2.42707,1.78594,0,0.14899,0.16914,0.08924,0.02841,0.11786,0.15254,0.06147,0.01995,2.32277,4.8786,6.27045,2.92451,0,0.00194951,0.00194951,0.00194951
4,117.704,1.62188,3.47354,2.35835,1.81484,0,0.12806,0.14124,0.07021,0.02119,0.14664,0.15254,0.08458,0.02128,2.50699,4.23297,5.53964,2.9838,0,0.0019406,0.0019406,0.0019406
5,142.01,1.51472,3.32855,2.25135,1.75137,0,0.20449,0.23729,0.1249,0.04508,0.22961,0.23729,0.11194,0.03167,2.00182,4.01611,3.32443,2.27354,0,0.0019208,0.0019208,0.0019208
6,166.507,1.47106,3.30428,2.2034,1.72129,0,0.20094,0.25424,0.1453,0.0539,0.20521,0.23164,0.13424,0.03862,2.0415,4.85818,3.75971,2.22591,0,0.001901,0.001901,0.001901
7,191.035,1.44115,3.24963,2.17351,1.68514,0,0.12824,0.16949,0.06206,0.02534,0.11967,0.11299,0.04662,0.01544,1.91822,3.94595,3.48357,2.40113,0,0.0018812,0.0018812,0.0018812
8,215.245,1.50124,3.29717,2.17882,1.70141,0,0.20211,0.29944,0.19116,0.05984,0.18686,0.27684,0.15483,0.04375,1.84552,3.72463,2.95107,2.0786,0,0.0018614,0.0018614,0.0018614
9,239.694,1.3963,3.17761,2.08587,1.66115,0,0.16371,0.28814,0.10004,0.03717,0.1387,0.29379,0.08201,0.02835,1.90016,3.83733,3.02564,2.17459,0,0.0018416,0.0018416,0.0018416
10,263.805,1.46267,3.24965,2.11008,1.68579,0,0.23851,0.33333,0.16281,0.06281,0.2188,0.30508,0.14049,0.04183,1.87879,4.13652,3.18044,2.0188,0,0.0018218,0.0018218,0.0018218
