epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8775,1.51027,3.46552,2.66588,1.55794,0,0.4241,0.22833,0.22179,0.10367,0.42435,0.21397,0.21441,0.09398,1.69167,8.786,3.02305,1.68361,0,0.000654762,0.000654762,0.000654762
2,43.3933,1.59834,3.05211,2.31387,1.60984,0,0.35277,0.16594,0.15305,0.06035,0.30612,0.17904,0.14481,0.04403,2.31162,10.9598,6.92803,2.31343,0,0.00130835,0.00130835,0.00130835
3,63.4186,1.6412,3.20704,2.26236,1.66485,0,0.23421,0.26638,0.13097,0.05536,0.23921,0.24454,0.1413,0.05991,1.7114,4.84315,5.00128,1.95901,0,0.00194873,0.00194873,0.00194873
4,83.3214,1.67361,3.16834,2.1495,1.66591,0,0.23332,0.22271,0.13804,0.05417,0.24247,0.23144,0.14722,0.05311,1.89359,6.69278,4.50285,2.08625,0,0.0019406,0.0019406,0.0019406
5,102.948,1.62145,3.09568,2.10409,1.65504,0,0.37965,0.31004,0.23719,0.099,0.37236,0.31441,0.24584,0.10526,1.91678,6.50979,3.7507,1.92977,0,0.0019208,0.0019208,0.0019208
6,123.008,1.63182,3.03914,2.02938,1.66707,0,0.11851,0.13537,0.05005,0.0189,0.09825,0.12227,0.03628,0.0122,2.67427,8.18606,5.74967,2.50137,0,0.001901,0.001901,0.001901
7,143.238,1.54989,2.95292,1.97482,1.61794,0,0.26056,0.22707,0.1396,0.05637,0.23743,0.20961,0.11882,0.04387,2.05525,4.41482,5.12678,2.02205,0,0.0018812,0.0018812,0.0018812
8,163.211,1.57525,2.9891,1.94214,1.60594,0,0.39041,0.50655,0.37081,0.18792,0.50736,0.35371,0.35459,0.16643,1.40758,5.04573,2.66267,1.45855,0,0.0018614,0.0018614,0.0018614
9,183.263,1.53413,2.85588,1.84674,1.5594,0,0.28507,0.34498,0.25087,0.10664,0.27604,0.34634,0.24412,0.09286,1.63066,5.58967,2.63788,1.66204,0,0.0018416,0.0018416,0.0018416
10,202.948,1.48978,2.82894,1.84478,1.55568,0,0.34201,0.30131,0.24897,0.10065,0.34955,0.30568,0.26008,0.10781,1.56823,3.9854,2.32171,1.59018,0,0.0018218,0.0018218,0.0018218
11,222.871,1.49165,2.92856,1.83707,1.52955,0,0.26087,0.21397,0.14033,0.05195,0.24132,0.21834,0.13345,0.04938,1.69414,3.75601,3.29038,1.78322,0,0.001802,0.001802,0.001802
12,242.633,1.45177,2.84381,1.77135,1.52806,0,0.39331,0.27511,0.2433,0.11956,0.38437,0.26992,0.2275,0.10079,1.52611,5.05939,3.52991,1.59702,0,0.0017822,0.0017822,0.0017822
13,262.39,1.47269,2.76216,1.7459,1.50577,0,0.39878,0.29544,0.29217,0.13641,0.30232,0.35371,0.27563,0.11664,2.21498,6.40302,2.56341,1.80376,0,0.0017624,0.0017624,0.0017624
14,282.256,1.43097,2.74804,1.75212,1.5112,0,0.46131,0.36681,0.33619,0.16682,0.42612,0.37555,0.3052,0.13899,1.36528,4.60821,3.20138,1.4163,0,0.0017426,0.0017426,0.0017426
15,302.022,1.42533,2.71499,1.70641,1.49052,0,0.44411,0.48472,0.41309,0.21494,0.47921,0.4621,0.40927,0.2003,1.614,5.85827,2.0892,1.40803,0,0.0017228,0.0017228,0.0017228
16,321.776,1.41,2.7161,1.74853,1.48178,0,0.45122,0.37991,0.36471,0.19248,0.46157,0.39738,0.36987,0.17664,1.89359,4.84759,2.35694,1.6229,0,0.001703,0.001703,0.001703
17,341.411,1.41442,2.7032,1.66975,1.49518,0,0.49242,0.37555,0.39026,0.1998,0.52866,0.38865,0.39154,0.20073,1.40714,3.8426,1.97256,1.38016,0,0.0016832,0.0016832,0.0016832
18,361.115,1.39766,2.72035,1.69965,1.46749,0,0.45152,0.33624,0.34919,0.18939,0.45858,0.35878,0.35158,0.16185,1.35118,3.43117,2.26378,1.40053,0,0.0016634,0.0016634,0.0016634
19,380.63,1.35306,2.70577,1.63173,1.44406,0,0.46387,0.47162,0.39081,0.20411,0.47614,0.47162,0.37817,0.18325,1.78514,5.4091,2.55778,1.5106,0,0.0016436,0.0016436,0.0016436
